,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
0,2983018.241491687,0.0,2983018.241491687,0.0,4.0,8.0,1e-06,1.3,10000000.0,0.0013062891160239122,175.0,2.756545659190718e-09,0.1,1.0063966451910213e-08,0.9,2209692.9935239507,4683215.45721271
1,1997753.4635103433,0.0,1997753.4635103433,0.0,22.0,407.0,1e-06,1.3,10000000.0,0.07709588742228124,90.0,4.0023694063433335e-08,0.1,1.7181895111027844e-07,0.9,8648259.703626603,5410417.2998927785
2,2907251.6123744627,0.0,2907251.612374462,0.0,5.0,124.0,1e-06,1.3,10000000.0,0.0071344913296109,109.0,4.7793599413197965e-09,0.1,2.904230419196685e-07,0.9,7833468.169241267,465947.15353465726
3,2833823.359121371,0.0,2833823.359121371,0.0,3.0,3.0,1e-06,1.3,10000000.0,0.012782818529125259,69.0,2.8058810271623272e-08,0.1,1.1069507576312604e-08,0.9,315297.959852557,861816.1556505368
4,2930355.9500815747,0.0,2930355.9500815747,0.0,9.0,3.0,1e-06,1.3,10000000.0,0.005357234609109629,79.0,5.366680056062024e-09,0.1,4.452019477854038e-09,0.9,615724.7978663866,661978.7873240345
5,0.0,0.0,0.0,0.0,1.0,70.0,1e-06,1.3,10000000.0,0.026879166415142056,85.0,1.1687406793731871e-08,0.1,2.928818783373511e-07,0.9,270740.6608972663,613773.8276540297
6,2900404.5938502355,0.0,2900404.593850235,0.0,5.0,18.0,1e-06,1.3,10000000.0,0.0076611850813730325,60.0,9.443032296568029e-09,0.1,8.48545469698947e-08,0.9,5376617.761560035,206171.25717807538
7,2576303.6452151695,0.0,2576303.6452151695,0.0,3.0,4.0,1e-06,1.3,10000000.0,0.032592027291140704,194.0,8.160806665284567e-09,0.1,3.8237064113360346e-09,0.9,6265744.833062541,150797.536017459
8,2986790.274178698,0.0,2986790.274178698,0.0,2.0,10.0,1e-06,1.3,10000000.0,0.0010161327552472982,193.0,1.723807176539756e-08,0.1,1.4235925602750523e-08,0.9,602945.2033459756,1188067.1443413792
9,2999970.048814645,0.0,379.5231162185123,2999590.003083262,11.0,8.0,1e-06,1.3,10000000.0,0.01715216816999208,90.0,2.3855454570046218e-09,0.1,1.3696537905850266e-08,0.9,3079811.195385985,6644222.3053908385
10,0.0,0.0,0.0,0.0,1.0,1.0,1e-06,1.3,10000000.0,0.0041308354241354,66.0,7.577250320912294e-08,0.1,6.965076930302683e-09,0.9,114112.21526645783,8701933.099340193
11,2887126.113532531,0.0,2887126.1135325306,0.0,3.0,40.0,1e-06,1.3,10000000.0,0.008682606651227618,194.0,1.69498066548156e-09,0.1,5.299581061737831e-08,0.9,906679.1897251956,331812.1345630658
12,2974650.558376446,0.0,2945476.554684849,29173.517334022406,10.0,74.0,1e-06,1.3,10000000.0,0.001969142811029417,60.0,3.617263147053915e-09,0.1,2.197331393155976e-07,0.9,3450544.6346278754,787856.8167910383
13,1991410.293936661,0.0,1991410.293936661,0.0,3.0,2.0,1e-06,1.3,10000000.0,0.0775838235433338,185.0,1.1965923846817314e-08,0.1,8.058913431692079e-09,0.9,146760.4327482391,1923046.2730342867
14,0.0,0.0,0.0,0.0,1.0,54.0,1e-06,1.3,10000000.0,0.05426652355335388,141.0,9.333161803300945e-08,0.1,6.607675675375601e-07,0.9,144872.19502021204,186144.04607754992
15,2968944.615305261,0.0,2968944.615305261,0.0,3.0,100.0,1e-06,1.3,10000000.0,0.0023888757457491165,106.0,1.0315582951157621e-08,0.1,2.2103507277924224e-07,0.9,1817936.7236823295,326422.30106521107
16,2882830.6135536884,0.0,2882830.61355369,0.0,17.0,52.0,1e-06,1.3,10000000.0,0.009013029724023307,105.0,8.926482874261985e-08,0.1,3.780160066663796e-08,0.9,2282202.587436795,5152223.756490541
17,2937004.8287404967,28941.22772617069,1150110.6452137777,1786475.562096103,16.0,2.0,1e-06,1.3,10000000.0,0.012018729431760996,75.0,2.2563241621153066e-09,0.1,1.2336273010177667e-09,0.9,841897.578395943,601191.7106392271
18,2982959.069341023,0.0,2982959.069341023,0.0,6.0,51.0,1e-06,1.3,10000000.0,0.0013108408196413552,141.0,7.4730362530951e-09,0.1,4.9391761016317424e-08,0.9,9164324.25179691,9566639.299655244
