,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
0,4634373.058324707,0.0,4634373.058324707,0.0,12.0,26.0,1e-06,1.5,10000000.0,0.02437512944501949,165.0,2.354297150762381e-09,0.1993485547903399,2.172132562891704e-08,0.9,389453.7617921988,9998502.269161206
1,4954279.063031584,0.0,4954279.063031583,0.0,10.0,1173.0,1e-06,1.5,10000000.0,0.003048062464553421,137.0,9.384914512038137e-09,0.17463312357011931,8.793424420509854e-07,0.9,7475268.651379693,733236.143777714
2,4777259.653530475,0.0,4777259.653530475,0.0,8.0,57.0,1e-06,1.5,10000000.0,0.01484935643130135,78.0,6.363231288708522e-09,0.23403735990939006,7.86395708306374e-08,0.9,2544335.8817786565,232339.95349431154
3,4979379.155308826,0.0,4979379.155308826,0.0,12.0,7.0,1e-06,1.5,10000000.0,0.0013747229794116498,79.0,3.4358258540002554e-08,0.10797462738090571,1.0173443763264438e-08,0.9,2276384.9951392873,883322.7522307847
4,4514642.153579022,0.0,4514642.153579022,0.0,3.0,1.0,1e-06,1.5,10000000.0,0.03235718976139846,109.0,2.6724603014141296e-08,0.25485457337927203,6.020875808478888e-09,0.9,350830.4650797584,9421965.071805792
5,4455313.68096615,0.0,4455313.680966152,0.0,3.0,1.0,1e-06,1.5,10000000.0,0.03631242126892335,154.0,4.7982934919347014e-08,0.042222095562399815,1.1884154555612468e-09,0.9,134616.2792050451,1325307.795277066
6,4963370.041823334,43221.64947515546,4217783.06751132,745567.5460652933,9.0,9.0,1e-06,1.5,10000000.0,0.0028612201356037776,122.0,1.596451518954106e-09,0.18173530752941552,5.067967928940985e-09,0.9,2456566.4370240555,7144776.99745055
7,3748141.1233832967,6344.180449600586,3748141.1233832967,0.0,4.0,19.0,1e-06,1.5,10000000.0,0.08345725844111346,147.0,2.8326264602558762e-09,0.012294728389689502,1.3522210135035714e-08,0.9,362835.2354914761,189044.84492085947
8,3560239.3489560173,0.0,3560239.3489560173,0.0,7.0,341.0,1e-06,1.5,10000000.0,0.09598404340293219,120.0,1.358784011274926e-09,0.03592613913784702,3.915996877647249e-07,0.9,3126167.461809008,181973.02363612514
9,3647435.7487990763,0.0,3647435.7487990763,0.0,5.0,17.0,1e-06,1.5,10000000.0,0.09017095008006108,133.0,2.4048928669837386e-08,0.28500254524343255,3.166054426653967e-08,0.9,516401.32233928604,402618.5148236053
10,3933291.7058608485,0.0,3933291.7058608495,0.0,11.0,119.0,1e-06,1.5,10000000.0,0.07111388627594334,107.0,3.2464709111140874e-09,0.030882591454908192,1.335466884653159e-07,0.9,2308721.788372222,1326397.3369580864
11,4943225.768924303,0.0,4943225.768924305,0.0,11.0,3.0,1e-06,1.5,10000000.0,0.0037849487383795647,137.0,5.452385893820805e-09,0.12976410487857912,1.601984512565859e-09,0.9,1513411.1902765967,188547.74933006937
12,4207241.3813736,0.0,4207241.3813736,0.0,2.0,3.0,1e-06,1.5,10000000.0,0.05285057457509327,89.0,6.018279079833052e-08,0.25257422233404003,1.1580646533351882e-08,0.9,103718.82018451045,153096.29291131222
13,4325820.788879419,0.0,4325820.788879419,0.0,10.0,27.0,1e-06,1.5,10000000.0,0.044945280741371885,65.0,2.0908096484639862e-08,0.26426100542942765,6.248261027147133e-08,0.9,416964.4633212247,143262.93159066828
14,4942961.639764982,0.0,4942961.639764983,0.0,5.0,109.0,1e-06,1.5,10000000.0,0.0038025573490010596,152.0,2.888239111154311e-09,0.15639485808011605,9.351551680105964e-08,0.9,2041987.7139814263,626262.209788755
15,4975967.252344752,0.0,4975967.252344753,0.0,5.0,17.0,1e-06,1.5,10000000.0,0.0016021831770161269,181.0,1.032678153991632e-08,0.03195560092029367,2.0957123310321833e-08,0.9,117574.17526854208,1950864.9232542685
16,3710708.366744315,0.0,3710708.366744315,0.0,2.0,73.0,1e-06,1.5,10000000.0,0.08595277555037906,89.0,2.548155253382088e-08,0.09683545645335363,1.6723891273813612e-07,0.9,135112.23789733017,143416.9692103074
