,host,phage,resistant,vulnerable,time
0,100000.0,100000.0,0.0,117821.78217821782,1
1,117821.78217821782,99000.0,0.0,138586.84802818278,2
2,138586.84802818278,99597.92079207921,0.0,162669.53562134877,3
3,162669.53562134877,102060.79443433267,0.0,190445.2603360258,4
4,190445.2603360258,106796.67882310034,0.0,222267.44218398695,5
5,222267.44218398695,114422.04011212976,0.0,258433.5644673987,6
6,258433.5644673987,125868.90086759377,0.0,299136.7059714734,7
7,299136.7059714734,142557.88461695972,0.0,344397.4263965776,8
8,344397.4263965776,166681.9625683846,0.0,393968.26222320454,9
9,393968.26222320454,201678.12135330023,0.0,447198.24521440675,10
10,447198.24521440675,253019.61031617044,0.0,502836.1569802723,11
11,502836.1569802723,329552.5824489554,0.0,558736.977514552,12
12,558736.977514552,445737.1828774612,0.0,611417.2459827166,13
13,611417.2459827166,625308.3262838385,0.0,655396.2110649248,14
14,655396.2110649248,906869.3589273285,0.0,682320.5488555577,15
15,682320.5488555577,1351105.2906292593,0.0,680185.5130233216,16
16,680185.5130233216,2045692.974683757,0.0,633956.7250540883,17
17,633956.7250540883,3093429.33014151,0.0,530976.429499958,18
18,530976.429499958,4549076.691717856,0.0,375678.8063476392,19
19,375678.8063476392,6268076.271906915,0.0,207539.41061941267,20
20,207539.41061941267,7760574.715449579,0.0,86195.87831375704,21
21,86195.87831375704,8434079.83616571,0.0,30474.0879739706,22
22,30474.0879739706,8244957.479871125,0.0,11408.383601888285,23
23,11408.383601888285,7646591.622769577,0.0,4960.875716993788,24
24,4960.875716993788,6960444.185924206,0.0,2498.82137202179,25
25,2498.82137202179,6295476.676019083,0.0,1425.10237228951,26
26,1425.10237228951,5680087.1529157655,0.0,900.5239452232053,27
27,900.5239452232053,5119363.672732977,0.0,619.5619840674401,28
28,619.5619840674401,4611576.404074121,0.0,457.7302789942707,29
29,457.7302789942707,4152990.2053506374,0.0,359.16495818991103,30
30,359.16495818991103,3739402.039244394,0.0,296.6810763752059,31
31,296.6810763752059,3366670.591279327,0.0,256.12694736625366,32
32,256.12694736625366,3030902.4768607337,0.0,229.71687325503817,33
33,229.71687325503817,2728510.895393907,0.0,212.97685631507565,34
