,host,phage,resistant,vulnerable,time
0,100000.0,100000.0,0.0,117821.78217821782,1
1,117821.78217821782,99000.0,0.0,138586.84802818278,2
2,138586.84802818278,99597.92079207921,0.0,162669.53562134877,3
3,162669.53562134877,102060.79443433267,0.0,190445.2603360258,4
4,190445.2603360258,106796.67882310034,0.0,222267.44218398695,5
5,222267.44218398695,114422.04011212976,0.0,258433.5644673987,6
6,258433.5644673987,125868.90086759377,0.0,299136.7059714734,7
7,299136.7059714734,142557.88461695972,0.0,344397.4263965776,8
8,344397.4263965776,166681.9625683846,0.0,393968.26222320454,9
9,393968.26222320454,201678.12135330023,0.0,447198.24521440675,10
10,447198.24521440675,253019.61031617044,0.0,502836.1569802723,11
11,502836.1569802723,329554.5824489554,0.0,558736.8817621002,12
12,558736.8817621002,445740.5462060708,0.0,611416.9687696308,13
13,611416.9687696308,625319.7086770927,0.0,655395.2751939301,14
14,655395.2751939301,906887.4164192498,0.0,682318.5237809801,15
15,682318.5237809801,1351137.5989147653,0.0,680181.5595818339,16
16,680181.5595818339,2045748.9237207929,0.0,633949.7117872812,17
17,633949.7117872812,3093505.2625199496,0.0,530966.3788988738,18
18,530966.3788988738,4549179.875383185,0.0,375666.85136528773,19
19,375666.85136528773,6268200.687825776,0.0,207528.54068159254,20
20,207528.54068159254,7760651.330283236,0.0,86189.8979131362,21
21,86189.8979131362,8434079.32755194,0.0,30471.99604959165,22
22,30471.99604959165,8244877.931941888,0.0,11407.844503096847,23
23,11407.844503096847,7646487.2294377405,0.0,4960.760514425492,24
24,4960.760514425492,6960331.954281509,0.0,2498.8190204282937,25
25,2498.8190204282937,6295370.622104651,0.0,1425.1275258210862,26
26,1425.1275258210862,5679986.633466054,0.0,900.5541607681714,27
27,900.5541607681714,5119267.441757371,0.0,619.5914358812865,28
28,619.5914358812865,4611483.221686903,0.0,457.75780968893974,29
29,457.75780968893974,4152903.5606643516,0.0,359.1905256219895,30
30,359.1905256219895,3739322.1947990935,0.0,296.7050629196511,31
31,296.7050629196511,3366597.8038443197,0.0,256.14981408743193,32
32,256.14981408743193,3030836.043529255,0.0,229.73908323462175,33
33,229.73908323462175,2728447.4103768133,0.0,212.9989057928267,34
