,HostRichness,PhageRichness,time
0,1,1,1
1,1,1,2
2,1,1,3
3,1,2,4
4,1,2,5
5,1,2,6
6,1,2,7
7,1,3,8
8,1,6,9
9,1,12,10
10,1,13,11
11,1,17,12
12,1,17,13
13,1,18,14
14,2,18,15
15,2,17,16
16,2,17,17
17,2,13,18
18,2,14,19
19,2,14,20
20,2,12,21
21,2,12,22
22,2,12,23
23,2,6,24
24,2,6,25
25,2,6,26
26,2,6,27
27,2,3,28
28,2,3,29
29,2,3,30
30,2,3,31
31,2,2,32
32,2,2,33
33,2,2,34
34,2,2,35
35,2,2,36
36,2,2,37
37,2,2,38
38,2,2,39
39,2,2,40
40,2,2,41
41,2,2,42
42,2,2,43
43,2,2,44
44,2,2,45
45,2,2,46
46,2,2,47
47,2,1,48
48,2,1,49
49,2,1,50
50,2,1,51
51,2,1,52
52,2,1,53
53,2,1,54
54,2,1,55
55,2,1,56
56,2,1,57
57,2,1,58
58,2,1,59
59,2,1,60
60,2,1,61
61,2,1,62
62,2,1,63
63,2,1,64
64,2,1,65
65,2,1,66
66,2,1,67
67,2,1,68
68,2,1,69
69,2,1,70
70,2,1,71
71,2,1,72
72,2,1,73
73,2,1,74
74,2,1,75
75,2,1,76
76,2,1,77
77,2,1,78
78,2,1,79
79,2,1,80
80,2,3,81
81,2,5,82
82,2,6,83
83,2,7,84
84,2,8,85
85,2,10,86
86,2,12,87
87,2,12,88
88,2,14,89
89,2,14,90
90,2,12,91
91,2,12,92
92,2,13,93
93,2,15,94
94,2,12,95
95,2,10,96
96,2,8,97
97,2,8,98
98,2,8,99
99,2,7,100
100,2,7,101
101,2,7,102
102,2,6,103
103,2,6,104
104,2,6,105
105,2,6,106
106,2,5,107
107,2,5,108
108,2,5,109
109,2,3,110
110,2,3,111
111,2,3,112
112,2,3,113
113,2,1,114
114,2,1,115
115,2,1,116
116,2,1,117
117,2,1,118
118,2,1,119
119,2,1,120
120,2,1,121
121,2,1,122
122,2,1,123
123,2,1,124
124,2,1,125
125,2,1,126
126,2,1,127
127,2,1,128
128,2,1,129
129,2,1,130
130,2,1,131
131,2,1,132
132,2,1,133
133,2,1,134
134,2,1,135
135,2,1,136
136,2,1,137
137,2,1,138
138,2,1,139
139,2,1,140
140,2,1,141
141,2,1,142
142,2,1,143
143,2,1,144
144,2,2,145
145,2,2,146
146,2,2,147
147,2,2,148
148,2,2,149
149,2,2,150
150,2,2,151
151,2,5,152
152,2,8,153
153,2,10,154
154,2,12,155
155,2,16,156
156,2,18,157
